"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","판매점영업면적",
"1","안전상비의약품 판매업소","01_01_05_P","3220000","PHMH320263220033087500007","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 144-14 채널리저브","서울특별시 강남구 삼성로 517, 제1층 제109호 (삼성동, 채널리저브)","06158","씨유 삼성리저브점","2026-03-01 12:28:25","I","2026-03-04 00:20:37","","204828.180350057","445089.672895407","0",
"2","안전상비의약품 판매업소","01_01_05_P","3220000","PHMH320213220033087500007","2021-02-08","","03","폐업","03","폐업","2026-02-27","","","","","","","서울특별시 강남구 삼성동 144-14 채널리저브","서울특별시 강남구 삼성로 517, 1층 109호 (삼성동, 채널리저브)","06158","씨유 삼성리저브점","2026-03-01 12:28:08","U","2026-03-04 02:40:00","","204828.180350057","445089.672895407","57.8",
