"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"23","휴게음식점","07_24_05_P","3080000","3080000-104-2026-00013","2026-01-27","","03","폐업","02","폐업","2026-02-28","","","","","","142-804","서울특별시 강북구 미아동 70-6 롯데백화점 미아점 지하2층","서울특별시 강북구 도봉로 62, 롯데백화점 미아점 지하2층 (미아동)","01215","(주)신원씨푸드","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","202625.646264572","456875.973976242","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"24","휴게음식점","07_24_05_P","3330000","3330000-104-2026-00026","2026-01-27","","01","영업/정상","01","영업","","","","","","63.50","612-020","부산광역시 해운대구 우동 1565 해운대 경동리인뷰2차","부산광역시 해운대구 구남로 21, 301동 112호 (우동, 해운대 경동리인뷰2차)","48095","오크레페해운대","2026-03-02 09:16:34","U","2026-03-04 02:40:00","일반조리판매","","","일반조리판매","0","0","","","","0","0","0","0","0","","0","0","N","63.5","","","",
"25","휴게음식점","07_24_05_P","3940000","3960100-104-2026-00016","2026-01-27","","03","폐업","02","폐업","2026-02-28","","","","","9.90","410-738","경기도 고양시 일산동구 장항동 784 롯데백화점일산점 지하2층 일부호","경기도 고양시 일산동구 중앙로 1283, 롯데백화점일산점 지하2층 일부호 (장항동)","10401","오사카 오지상 치즈케이크(한시적)","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","179812.331183859","462059.506265122","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","9.9","","","",
"26","휴게음식점","07_24_05_P","3300000","3300000-104-2026-00009","2026-01-27","","03","폐업","02","폐업","2026-02-28","","","","","0.00","607-716","부산광역시 동래구 온천동 502-3 롯데백화점","부산광역시 동래구 중앙대로 1393, 롯데마트 동래점 지하1층 (온천동)","47727","이프","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","389097.800933845","192260.811648263","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"27","휴게음식점","07_24_05_P","3590000","3590000-104-2026-00009","2026-01-26","","03","폐업","02","폐업","2026-02-28","","","","07043533650","","501-811","광주광역시 동구 대인동 7-1 롯데백화점 광주점","광주광역시 동구 독립로 268, 롯데백화점 광주점 지하1층 (대인동)","61470","사과당","2026-03-01 04:15:13","U","2026-03-04 02:40:00","백화점","191913.038277945","183968.019861937","백화점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"28","휴게음식점","07_24_05_P","5670000","5670184-104-2026-00001","2026-01-19","","01","영업/정상","01","영업","","","","","","","630-805","경상남도 창원시 마산회원구 석전동 262-6","경상남도 창원시 마산회원구 석전남8길 9, 1층 (석전동)","51314","점빵","2026-03-02 09:13:31","U","2026-03-04 02:40:00","기타 휴게음식점","343146.673917136","193286.353271156","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"29","휴게음식점","07_24_05_P","5130000","5130000-104-2017-00172","2017-12-01","","01","영업/정상","01","영업","","","","","","66.01","712-250","경상북도 경산시 평산동 216-4","경상북도 경산시 미소마을1길 30 (평산동)","38607","홈바리스타김사부","2026-03-02 12:51:49","U","2026-03-04 02:40:00","커피숍","359808.773919077","258248.340167132","커피숍","0","1","기타","","상수도전용","0","0","0","0","0","","0","0","N","66.01","","","",
"30","휴게음식점","07_24_05_P","5130000","5130000-104-2026-00005","2026-01-14","","01","영업/정상","01","영업","","","","","","","712-800","경상북도 경산시 옥산동 726-1","경상북도 경산시 성암로21길 37-14, 102동 1403호 (옥산동)","38660","씨유 옥산신성신화점","2026-03-02 13:23:14","U","2026-03-04 02:40:00","편의점","355884.567172124","260114.945987661","편의점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"31","휴게음식점","07_24_05_P","3140000","3140000-104-2026-00014","2026-01-19","","03","폐업","02","폐업","2026-02-28","","","","","","158-724","서울특별시 양천구 목동 916 현대하이페리온","서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)","07998","계란빵클럽","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","188884.075622342","447186.888604306","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"32","휴게음식점","07_24_05_P","5130000","5130000-104-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","30.72","712-800","경상북도 경산시 옥산동 856-9","경상북도 경산시 성암로13길 3-2, 1층 (옥산동)","38672","후루온(FRU:ON)","2026-03-02 13:01:55","U","2026-03-04 02:40:00","기타 휴게음식점","355633.964907345","259545.189190182","기타 휴게음식점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","30.72","","","",
