"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"1","대규모점포","08_25_01_P","3140000","2022314016707500002","2022-10-04","","01","영업/정상","1","정상영업","","","","","02-3459-8016","254.4","","서울특별시 양천구 신정동 86-1","서울특별시 양천구 목동동로 196(신정동)","08010","홈플러스 익스프레스 오목교점","2026-03-01 12:00:27","U","2026-03-04 02:40:00","구분없음","188565.074701959","446750.881633578","준대규모점포",
"2","대규모점포","08_25_01_P","3140000","2025314027207500001","2025-01-20","","01","영업/정상","1","정상영업","","","","","","258","","서울특별시 양천구 목동 547-12","서울특별시 양천구 목동중앙본로 95 (목동)","07953","GS THE FRESH 양천목2동점","2026-03-01 12:00:03","U","2026-03-04 02:40:00","구분없음","188456.486375706","449112.890911306","준대규모점포",
