침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,2,,0,이지헤어,일반미용업,2,2026-04-13,,,,208346.373644042,388132.903549706,2026-04-14 03:03:03,U,02,폐업,0,2026-04-13 16:05:07,2015-09-08,86.26,450-805,경기도 평택시 비전동 613-5,N,0,3910000-211-2015-00027,3910000,"경기도 평택시 평택3로 64, 1층 (비전동)",17897,03,폐업,일반미용업,031-658-0669,1,,,
0,0,,0,천프로염색샵,일반미용업,2,2026-04-13,,,,212660.180181156,419404.436106064,2026-04-14 03:03:03,U,02,폐업,0,2026-04-13 13:15:44,2023-02-09,26.40,446-517,경기도 용인시 기흥구 상하동 482-1,N,0,5630000-211-2023-00007,4050000,"경기도 용인시 기흥구 언동로 216, 나동 1층 일부호 (상하동)",16986,03,폐업,일반미용업,,,,,
4,6,임대,1,고운고은,피부미용업,2,2026-04-13,,,,239492.241535672,419861.886955764,2026-04-14 03:03:03,U,02,폐업,0,2026-04-13 13:36:53,2022-01-06,62.25,467-804,경기도 이천시 창전동 167-1 오구은광빌딩,N,0,4070000-212-2022-00001,4070000,"경기도 이천시 이섭대천로 1227-11, 오구은광빌딩 2층 202호 (창전동)",17369,03,폐업,피부미용업,,2,,2,
