"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품냉동냉장업","07_22_07_P","4090000","4090000-116-2024-00002","2024-06-19","","01","영업/정상","01","영업","","","","","031 80497511","5785.00","415-816","경기도 김포시 고촌읍 전호리 662","경기도 김포시 고촌읍 아라육로230번길 16, 3층","10135","지에스 네트웍스 고촌","2026-01-23 11:18:35","U","2026-01-25 02:40:00","식품냉동.냉장업","180608.043050996","455120.046927362","식품냉동.냉장업","0","0","","","","0","0","0","0","0","임대","0","0","N","179","","","",
"2","식품냉동냉장업","07_22_07_P","5540000","5540000-116-2023-00001","2023-02-09","","01","영업/정상","01","영업","","","","","031 80110465","4169.00","464-873","경기도 광주시 곤지암읍 신대리 280 1층 일부","경기도 광주시 곤지암읍 신대길 134-14, 1층","12801","GS네트웍스 곤지암센터","2026-01-23 11:53:47","U","2026-01-25 02:40:00","식품냉동.냉장업","229593.102320514","429159.909464608","식품냉동.냉장업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"3","식품냉동냉장업","07_22_07_P","3630000","3630000-116-2024-00001","2024-02-07","","01","영업/정상","01","영업","","","","","","14830.94","506-502","광주광역시 광산구 연산동 1178","광주광역시 광산구 평동산단7번로 1, 1층(일부),지하2층 (연산동)","62466","지에스네트웍스신광주물류센터","2026-01-23 11:53:20","U","2026-01-25 02:40:00","식품냉동.냉장업","177053.027037273","179221.071803218","식품냉동.냉장업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"4","식품냉동냉장업","07_22_07_P","3910000","3910038-116-2025-00001","2025-02-28","","03","폐업","02","폐업","2026-01-23","","","","","16276.70","","경기도 평택시 청북읍 삼계리 487-3 외 7필지(608,608-1,608-2,608-4,608-5,608-6,608-8)","경기도 평택시 청북읍 청북양감로 136, 지하2층, 지상1층","17800","주식회사 로지스퀘어","2026-01-23 14:21:53","U","2026-01-25 02:40:00","식품냉동.냉장업","191422.4142417","393845.170085662","식품냉동.냉장업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"5","식품냉동냉장업","07_22_07_P","4090000","4090000-116-2020-00002","2020-11-30","","01","영업/정상","01","영업","","","","","","3966.90","415-816","경기도 김포시 고촌읍 전호리 748","경기도 김포시 고촌읍 아라육로57번길 108, 4층 일부호","10136","주식회사 지에스네트웍스 김포지점","2026-01-23 11:19:26","U","2026-01-25 02:40:00","식품냉동.냉장업","182043.631908388","454370.102098275","식품냉동.냉장업","","","","","","","","","","","임대","","","N","0","","","",
