"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","일반게임제공업","03_05_06_P","4800000","CDFF2241132026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","전라남도 목포시 상동 1030-5","전라남도 목포시 하당남부로61번길 16, 1층 3호 (상동)","58688","동네게임랜드","2026-01-23 15:56:53","I","2026-01-25 00:20:02","","147767.961822416","144923.976912252","일반게임제공업","유통관련업","1","","뉴신천지블루 23대, 아수라 20대, 뭐하노 23대","90","1","0","판매시설","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","중심상업지역",
"2","일반게임제공업","03_05_06_P","3830000","CDFF2241132026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 만안구 안양동 674-157","경기도 안양시 만안구 만안로 203, 3층 (안양동)","13992","팡팡게임랜드","2026-01-23 15:27:02","I","2026-01-25 00:20:02","","","","일반게임제공업","유통관련업","0","","아케이드게임","188.78","3","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","",
"3","일반게임제공업","03_05_06_P","4570000","CDFF2241132017000002","2017-08-22","","03","폐업","03","폐업","2026-01-22","","","","","","","충청남도 부여군 부여읍 구아리 402-2","충청남도 부여군 부여읍 부여로 13-23","33144","사비게임장","2026-01-23 10:03:28","U","2026-01-25 02:40:00","","191714.544003079","308843.4740732","일반게임제공업","유통관련업","1","기타","성인PC방","255.79","1","0","판매시설","0","0","0","0","","","","","","","","","","","","70","","청소년이용불가","","","","상업지역",
"4","일반게임제공업","03_05_06_P","3820000","CDFF2241132013000007","2013-08-02","2026-01-13","04","취소/말소/만료/정지/중지","30","허가취소","","","","","","","","경기도 의정부시 의정부동 26-6","경기도 의정부시 태평로 102-1, 5층 (의정부동)","11693","뽀빠이 게임장","2026-01-23 16:40:36","U","2026-01-25 02:40:00","","204498.574038722","471014.13418123","일반게임제공업","유통관련업","8","유흥업소밀집지역","로얄 고도리2, 스타트, 천하통일포커, 오스카포커","148.33","7","1","판매시설","0","0","0","0","","","","","","","","","","","","92","","청소년이용불가","","","","상업지역",
"5","일반게임제공업","03_05_06_P","3990000","CDFF2241132024000001","2024-03-22","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 금곡동 416-1 금곡프라자","경기도 남양주시 사릉로 14, 금곡프라자 201호 (금곡동)","12237","금곡게임랜드","2026-01-23 14:26:21","U","2026-01-25 02:40:00","","218264.785802928","459124.445087204","일반게임제공업","유통관련업","0","","황궁성Poker, 렛츠고 훌(Let's go Hooool), 불타는 불새10, 5Dragons Gold, 띵호와500","197.6","0","0","","0","0","0","0","","","","","","","","","","","","82","","청소년이용불가","","","","일반상업지역",
