"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물위탁관리업","02_03_10_P","3670000","367000004820260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","0","","대전광역시 유성구 관평동 ***","대전광역시 유성구 테크노중앙로 **, *층 ***호 (관평동)","34014","고양이미용&고양이호텔 비니냥","2026-01-23 11:45:35","I","2026-01-25 00:20:02","","235165.246912304","325079.286191365","동물위탁관리업","동물위탁관리업","000","0",
"2","동물위탁관리업","02_03_10_P","4301000","430100004820260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 철원군 서면 와수리 ***-* *층","강원특별자치도 철원군 서면 와수로 ***, *층","24058","로사네 펫 살롱","2026-01-23 16:24:55","I","2026-01-25 00:20:02","","238535.786042912","526544.666724324","동물위탁관리업","동물위탁관리업","000","0",
"3","동물위탁관리업","02_03_10_P","4800000","480000004820260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","0","","전라남도 목포시 산정동 ****-*","전라남도 목포시 고하대로 *** (산정동)","58637","똥꾸댕댕","2026-01-23 17:00:21","I","2026-01-25 00:20:02","","142928.042357884","146050.651498183","동물위탁관리업","동물위탁관리업","000","0",
"4","동물위탁관리업","02_03_10_P","4140000","414000004820250001","2025-06-24","","01","영업/정상","0000","정상","","","","","","0","","경기도 연천군 청산면 대전리 ***","경기도 연천군 청산면 청창로***번길 **","11022","랩도그빌애견호텔","2026-01-23 10:15:40","U","2026-01-25 02:40:00","","207707.744616364","500587.109629541","동물위탁관리업","동물위탁관리업","000","0",
"5","동물위탁관리업","02_03_10_P","3660000","366000004820210019","2021-07-07","","03","폐업","0002","폐업","2026-01-22","","","","","0","","대전광역시 서구 가수원동 ****","대전광역시 서구 용소로**번길 **, ***호 (가수원동)","35369","러블리댕","2026-01-23 08:55:43","U","2026-01-25 02:40:00","","231521.963010352","312273.682544441","동물위탁관리업","동물위탁관리업","000","0",
"6","동물위탁관리업","02_03_10_P","4010000","401000004820230014","2023-12-14","","01","영업/정상","0000","정상","","","","","","0","","경기도 시흥시 은행동 ***-*","경기도 시흥시 은행로***번길 **, *층 (은행동)","14917","Paw Step","2026-01-23 10:22:44","U","2026-01-25 02:40:00","","182077.276862075","438016.890880387","동물위탁관리업","동물위탁관리업","000","0",
