"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물용의약품도매상","02_03_04_P","3230000","323000001220090002","2009-03-05","","01","영업/정상","0000","정상","","","","","02-496-4074","172.43","","서울특별시 송파구 방이동 65-2","서울특별시 송파구 오금로 99 (방이동, 진넥스레이크뷰)","05548","주식회사 버박코리아","2026-01-23 14:49:04","U","2026-01-25 02:40:00","","209464.500962759","445693.551238562","동물용의약품도매상","","L00","0",
"2","동물용의약품도매상","02_03_04_P","4520000","452000001220250001","2025-06-09","","01","영업/정상","0000","정상","","","","","","41.3","","충청남도 아산시 배방읍 북수리 1065","충청남도 아산시 배방읍 배방로173번길 28-3, 오스카빌 101호","31490","주식회사 백담","2026-01-23 09:13:58","U","2026-01-25 02:40:00","","205763.840186011","363505.997848939","동물용의약품도매상","","L00","0",
