축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물판매업,(주)원푸드에프엠비,식육판매업,,229402.07682673,430259.200237887,2026-03-20 03:03:03,U,0000,정상,2026-03-19 15:31:08,,2023-11-16,78,,경기도 광주시 초월읍 학동리 379-3,식육판매업,554000000920230087,5540000,L00,"경기도 광주시 초월읍 하오개길 108, 1동",12731,,01,영업/정상,,,
,축산물판매업,서초한우,식육판매업,2026-03-19,202332.852930998,443293.183512728,2026-03-20 03:03:03,U,0002,폐업,2026-03-19 10:57:36,,2021-11-29,0,,서울특별시 서초구 서초동 1755-1 리더스원 상가,식육판매업,321000000920210063,3210000,000,"서울특별시 서초구 사임당로 158, 리더스원 상가 1층 107,108호 (서초동)",06629,,03,폐업,,,02-584-8284
,축산물판매업,수궁정육점,식육판매업,,212599.106940123,437336.841763369,2026-03-20 03:03:03,U,0000,정상,2026-03-19 08:19:56,,1972-02-24,23.6,,경기도 성남시 중원구 성남동 2099,식육판매업,378000000919720001,3780000,000,"경기도 성남시 중원구 산성대로 224, B동 111호 (성남동)",13358,,01,영업/정상,,,031-751-1173
,축산물판매업,(주)팔팔미트,식육판매업,,210788.805116026,459177.999364413,2026-03-20 03:03:03,U,0000,정상,2026-03-19 11:09:35,,2020-09-23,14,,경기도 구리시 갈매동 552-6 구리갈매 아너시티,식육판매업,398000000920240004,3980000,L00,"경기도 구리시 갈매순환로166번길 45, 구리갈매 아너시티 1층 134호 (갈매동)",11901,,01,영업/정상,,,031-702-8500
,축산물판매업,(주)에프유,축산물유통전문판매업,2026-03-20,211078.936160816,461878.958987593,2026-03-20 03:03:03,U,0002,폐업,2026-03-19 16:03:11,,2013-10-10,10.5,,경기도 남양주시 별내동 946-3,축산물유통전문판매업,399000000920130074,3990000,L00,경기도 남양주시 두물로27번길 38-13 (별내동),12105,,03,폐업,,,031-575-5858
,축산물판매업,강진계란,식용란수집판매업,,212557.292780715,437314.374598462,2026-03-20 03:03:03,U,0000,정상,2026-03-19 08:16:51,,2023-05-17,0,,경기도 성남시 중원구 성남동 2105 A동 145호,식용란수집판매업,378000000920230063,3780000,000,"경기도 성남시 중원구 산성대로 214, A동 145호 (성남동)",13358,,01,영업/정상,,,
,축산물판매업,보다미에프앤비,축산물유통전문판매업,2026-03-18,194164.599446001,445820.883711428,2026-03-20 03:03:03,U,0002,폐업,2026-03-19 10:19:48,,2022-06-20,49.58,,서울특별시 동작구 노량진동 19-6 케이미트,축산물유통전문판매업,319000000920220005,3190000,L00,"서울특별시 동작구 노들로2길 44, 케이미트 2층 (노량진동)",06900,,03,폐업,,,
