사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
씨유 북가좌중앙,2026-03-19,192695.484129369,453195.115881613,제7조의3제2항에따른경우,2026-03-20 03:03:03,U,2025-02-05,2,폐업처리,2026-03-19 17:47:48,,2025-02-05,,서울특별시 서대문구 북가좌동 5-95,2025312021905600001,3120000,"서울특별시 서대문구 증가로12가길 78, 1층 (북가좌동)",03671,03,폐업,,,
동화슈퍼,2026-03-19,193506.877124606,442507.841703751,제7조의3제2항에따른경우,2026-03-20 03:03:03,U,2004-10-05,2,폐업처리,2026-03-19 15:02:01,,2004-10-05,151-892,서울특별시 관악구 신림동 1433번지 92호,2004320008005600129,3200000,서울특별시 관악구 신림로65길 37 (신림동),,03,폐업,2021-06-04,2021-07-04,
이마트24 신길중학교점,,192575.207803474,444326.960691403,제7조의3제2항에따른경우,2026-03-20 03:03:03,U,2021-02-18,0,정상영업,2026-03-19 10:27:23,,2021-02-18,,서울특별시 영등포구 신길동 2325,2021318023905600009,3180000,서울특별시 영등포구 여의대방로35길 39 (신길동),07392,01,영업/정상,,,
홈플러스(주) 홈플러스킨텍스점,2026-03-19,178006.080301401,462865.812502378,제7조의3제3항에따른경우,2026-03-20 03:03:03,U,2010-08-26,2,폐업처리,2026-03-19 16:01:30,,2010-08-26,411-410,경기도 고양시 일산서구 대화동 2602번지,2010410012505600054,3940000,경기도 고양시 일산서구 호수로 817 (대화동),,03,폐업,,,031-960-7000
헤어스케치,2026-03-19,198359.318584636,431487.856868028,2009년11월법개정전자료,2026-03-20 03:03:03,U,2002-10-18,2,폐업처리,2026-03-19 13:11:47,,2002-10-18,,경기도 의왕시 내손동 673번지 15호,2002403006005600058,4030000,"경기도 의왕시 내손중앙로 63-1, 지층 101호 (내손동)",16028,03,폐업,,,031-425-8408
하늘마트,2026-03-19,172812.686787077,461061.794042757,제7조의3제2항에따른경우,2026-03-20 03:03:03,U,2017-04-14,2,폐업처리,2026-03-19 16:41:49,,2017-04-14,,경기도 김포시 운양동 1337번지 1호,2017409032205600026,4090000,"경기도 김포시 김포한강1로 309, 1120동 102, 103호 (운양동, 하늘빛마을한신더휴테라스)",10074,03,폐업,,,
