건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
139,,썬오브글램핑,,,,234139.639206553,509519.38926409,,일반야영장업,2026-03-20 03:03:03,U,13,영업중,,,,1930,1930,,,,,,2026-03-19 13:31:54,,2022-02-04,,경기도 포천시 이동면 도평리 538-7,CDFI2262132022000005,5600000,,경기도 포천시 이동면 금강로6263번길 14-2,11110,01,영업/정상,,,,,,,,,,,,
252,,7BLOCK(세븐블럭),,,,212014.748240441,484226.92463442,,일반야영장업,2026-03-20 03:03:03,U,13,영업중,,,,14481,14481,,,,,현대해상화재보험,2026-03-19 15:20:26,,2022-03-31,,경기도 포천시 설운동 538-29 외 5필지,CDFI2262132022000008,5600000,,경기도 포천시 해룡로 50-109 (설운동),11160,01,영업/정상,,,,,,,,,,,,
120,,캠프원,,,,228557.242742926,503333.244425932,,일반야영장업,2026-03-20 03:03:03,U,13,영업중,,,,4047,4047,,,,,농협손해보험,2026-03-19 14:22:13,,2022-06-15,,경기도 포천시 이동면 노곡리 1111-3,CDFI2262132022000016,5600000,,경기도 포천시 이동면 새낭로 621-13,11112,01,영업/정상,,,,,,,,,,,,
268,,아이월관광농원,,,,218299.062857458,505866.204359793,,일반야영장업,2026-03-20 03:03:03,U,13,영업중,,,,5867,5867,,,,,농협손해보험,2026-03-19 14:16:59,,2022-10-31,,경기도 포천시 창수면 운산리 328,CDFI2262132022000035,5600000,,경기도 포천시 창수면 한탄강1로 134-119,11133,01,영업/정상,,,,,,,,,,,,
140,,쏘쿨이네 글램핑,,,,233589.204702915,505651.527062752,,일반야영장업,2026-03-20 03:03:03,U,13,영업중,,,,,,,,,,DB손해보험,2026-03-19 10:44:49,,2022-12-01,,경기도 포천시 이동면 도평리 251-2,CDFI2262132022000037,5600000,,경기도 포천시 이동면 화동로 2359,11110,01,영업/정상,,,,,,,,,,,,
132,,비니비니글램핑,,,,221461.630915854,478041.681641505,,일반야영장업,2026-03-20 03:03:03,U,13,영업중,,,,,,,,,,메리츠화재,2026-03-19 11:11:54,,2022-12-07,,경기도 포천시 내촌면 소학리 365-1,CDFI2262132022000038,5600000,,경기도 포천시 내촌면 금강로 2625-37,11188,01,영업/정상,,,,,,,,,,,,
