건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
0,,0,스테이 에브리데이,여인숙업,,,,,190280.110002906,441655.683609785,2026-05-21 03:03:03,U,01,영업,,9,2026-05-20 11:52:56,1976-01-12,116.26,153-801,서울특별시 금천구 가산동 143-15,N,,3170000-201-1976-00015,3170000,서울특별시 금천구 가산로9길 12 (가산동),08515,01,영업/정상,여인숙업,02-859-9049,0,0,0,0,0
14,,2,엠제이스톤 레지던스,숙박업(생활),,,,,200166.252387179,418557.756585702,2026-05-21 03:03:03,U,01,영업,0,0,2026-05-20 11:10:09,2025-09-04,"3,756.76",442-081,경기도 수원시 팔달구 매산로1가 20-1 MJ스톤타워,N,0,3770000-214-2025-00010,3740000,"경기도 수원시 팔달구 갓매산로71번길 20, MJ스톤타워 2~13층 일부호 (매산로1가)",16455,01,영업/정상,숙박업(생활),1800-0416,2,0,13,0,145
0,,0,스테이몰리,여인숙업,,,,,179823.093867257,464729.196987681,2026-05-21 03:03:03,U,01,영업,,9,2026-05-20 09:28:56,1973-07-27,124.15,411-875,경기도 고양시 일산서구 일산동 637-17,N,,4100100-201-1973-00003,3940000,경기도 고양시 일산서구 일청로8번길 35 (일산동),10342,01,영업/정상,여인숙업,031-975-3038,0,0,0,0,0
15,임대,3,큐브스테이C,숙박업(생활),,,,,204799.868821639,397384.374399436,2026-05-21 03:03:03,U,01,영업,0,234,2026-05-20 17:22:18,2023-11-30,"8,770.87",459-821,경기도 평택시 신장동 227-8 1동 일부호,N,0,3910029-214-2023-00003,3910000,"경기도 평택시 송탄1로 54-5, 1동 일부호 (신장동)",17761,01,영업/정상,숙박업(생활),02-516-3393,2,0,15,0,0
0,,0,2나잇호텔,여관업,,,,,187781.607816964,422247.184696796,2026-05-21 03:03:03,U,01,영업,,0,2026-05-20 13:21:06,2001-03-19,"1,818.13",426-815,경기도 안산시 상록구 본오동 877-8 본오피아7층,N,,3930000-201-2001-01003,3930000,"경기도 안산시 상록구 상록수로 28, 7층 (본오동)",15532,01,영업/정상,여관업,031-416-1003,7,0,7,0,47
0,임대,0,용인트리니호텔,숙박업(생활),,,,,215933.375981422,415055.784054297,2026-05-21 03:03:03,U,01,영업,0,,2026-05-20 09:38:11,2023-09-07,"8,183.00",449-930,"경기도 용인시 처인구 역북동 370-13 THE TRINY HOTEL, 일부",N,0,4050000-214-2023-00002,4050000,"경기도 용인시 처인구 중부대로 1218, THE TRINY HOTEL (역북동)",17053,01,영업/정상,숙박업(생활),,0,0,0,0,267
0,,0,정든장,여관업,,,,,188762.057786063,483052.828606269,2026-05-21 03:03:03,U,01,영업,,5,2026-05-20 17:57:04,1988-01-25,93.08,413-874,경기도 파주시 법원읍 대능리 93-4,N,,4060000-201-1988-00060,4060000,경기도 파주시 법원읍 술이홀로879번길 8,10826,01,영업/정상,여관업,,0,0,0,0,6
