영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,페이스,룸살롱,2026-04-23,202298.048786543,446281.513141502,2026-04-24 03:03:03,U,02,폐업,360.67,,,,,,,,,2026-04-23 15:19:16,1999-12-23,360.67,135-812,서울특별시 강남구 논현동 7-1 지하2층,N,,3220000-102-1999-21004,,3220000,"서울특별시 강남구 도산대로 166, 지하2층 (논현동)",06040,03,폐업,룸살롱,02-544-1644,,,
,,유니크노래타운,룸살롱,,202704.128359142,418001.640918528,2026-04-24 21:47:19,I,01,영업,578.24,,,,,,,,,2026-04-21 11:27:46,2003-04-25,578.24,442-834,경기도 수원시 팔달구 인계동 1043-9,Y,,3770000-102-2003-00009,,3740000,경기도 수원시 팔달구 효원로265번길 41 (인계동),16490,01,영업/정상,룸살롱,031-224-1998,,,
,,헤네시,룸살롱,,202615.510930155,418210.876594647,2026-04-24 21:47:19,I,01,영업,249.25,,,,,,,,,2026-04-22 14:14:51,2019-08-29,249.25,442-834,경기도 수원시 팔달구 인계동 1033-12 301~303호,Y,,3770000-102-2019-00008,,3740000,"경기도 수원시 팔달구 인계로124번길 36, 3층 (인계동)",16489,01,영업/정상,룸살롱,,,,상수도전용
,,화이트,룸살롱,,202674.960016886,418121.312178391,2026-04-24 21:47:19,I,01,영업,150.02,,,,,,,,,2026-04-21 10:59:48,2023-02-15,150.02,442-834,경기도 수원시 팔달구 인계동 1041-3,Y,,3770000-102-2023-00003,,3740000,"경기도 수원시 팔달구 권광로187번길 34, 6층 (인계동)",16489,01,영업/정상,룸살롱,,,,상수도전용
,,불티노래빵,룸살롱,,212839.209211026,437713.764475076,2026-04-24 21:47:21,I,01,영업,69.81,,,,,,,,,2026-04-21 17:13:16,2008-11-05,69.81,461-862,경기도 성남시 수정구 신흥동 4126 지하1층,Y,,3790000-102-2008-00005,,3780000,"경기도 성남시 수정구 시민로142번길 18-1, 지하1층 (신흥동)",13353,01,영업/정상,룸살롱,,,,
