축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물가공업,농업회사법인 주식회사 아이엘미르,알가공업,2026-04-22,177475.782896766,457996.190683301,2026-04-24 21:02:33,I,0002,폐업,2026-04-22 17:34:23,,2020-10-21,0,,경기도 김포시 고촌읍 향산리 375번지 1호 B동,알가공업,641000000420200157,6410000,L00,"경기도 김포시 고촌읍 금포로549번길 269-46, B동",,,03,폐업,,,
,축산물가공업,씨제이씨푸드 주식회사,식육가공업,,214028.112840164,436478.03077379,2026-04-24 21:02:33,I,0000,정상,2026-04-22 15:00:57,,2026-04-22,5629.76,,경기도 성남시 중원구 상대원동  5449번지 1호 CJ씨푸드성남본사,식육가공업,641000000420260034,6410000,L00,"경기도 성남시 중원구 둔촌대로388번길 32, CJ씨푸드성남본사 (상대원동)",,,01,영업/정상,,,031-730-9151
,축산물가공업,주식회사 에드푸드,식육가공업,2026-04-23,197294.653649091,433065.342670877,2026-04-24 03:03:03,U,0002,폐업,2026-04-23 11:04:31,,2018-09-05,140.87,,"경기도 안양시 동안구 관양동  1802번지 0호 평촌오비즈타워 B123,B124호",식육가공업,641000000420180096,6410000,L00,"경기도 안양시 동안구 벌말로 126, 평촌오비즈타워 B층 123,124호 (관양동)",,,03,폐업,,,
,축산물가공업,주식회사 천수식품,식육가공업,,177078.040152767,424637.209118154,2026-04-24 03:03:03,U,0000,정상,2026-04-23 19:51:31,,2017-06-07,356.78,,경기도 안산시 단원구 성곡동  662번지 10호 라동,식육가공업,641000000420170078,6410000,L00,"경기도 안산시 단원구 번영로 178, 라동 (성곡동)",,,01,영업/정상,,,
,축산물가공업,주식회사 라움푸드,식육가공업,,205948.086809974,480201.725970986,2026-04-24 21:02:33,I,0001,휴업,2026-04-22 11:32:13,,2025-09-16,512,,경기도 양주시 고암동  526번지 2호 A동,식육가공업,641000000420250078,6410000,L00,"경기도 양주시 청담로 276, A동 1층 (고암동)",,,02,휴업,2026-04-22,2027-06-30,031-859-9950
,축산물가공업,농업회사법인 디에스푸드원 주식회사,식육가공업,,226163.97878078,435447.25894451,2026-04-24 21:02:33,I,0000,정상,2026-04-22 11:06:53,,2025-10-30,534.36,,경기도 광주시 초월읍 지월리 413번지 1호,식육가공업,641000000420250086,6410000,000,경기도 광주시 초월읍 경수길 139,,,01,영업/정상,,,
,축산물가공업,(주)미트코어,식육가공업,,215216.698810132,425185.935635613,2026-04-24 03:03:03,U,0001,휴업,2026-04-23 11:05:48,,2025-05-27,818.9,,경기도 용인시 처인구 모현읍 능원리 372번지 2호,식육가공업,641000000420250045,6410000,L00,경기도 용인시 처인구 모현읍 능원로 130,,,02,휴업,2026-04-23,2027-04-22,
