축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물운반업,(주)동진로지스,,,203760.122353984,412497.212229325,2026-04-24 21:46:58,I,0000,정상,2026-04-22 19:38:11,,2017-06-19,47.29,,"경기도 화성시 병점구 병점동 ***-* 이타운*, *층 ***호",576000000820250001,5530000,L00,"경기도 화성시 병점구 효행로 ****, 이타운* *층 ***호 (병점동)",18405,,01,영업/정상,,,
,축산물운반업,(주)홍인로지스틱,,,228271.709296541,415199.985450393,2026-04-24 03:03:03,U,0000,정상,2026-04-23 09:58:38,,2016-12-20,1257,,경기도 용인시 처인구 양지읍 제일리 *-*,562000000820160003,4050000,L00,경기도 용인시 처인구 양지읍 평창로 ***,17162,,01,영업/정상,,,
,축산물운반업,(주)이안물류,,,197816.352504811,433277.88522269,2026-04-24 03:03:03,U,0000,정상,2026-04-23 13:33:14,,2010-06-16,162.5,,경기도 안양시 동안구 관양동 ****-**,383000000820100001,3830000,L00,"경기도 안양시 동안구 흥안대로 ***, **층 (관양동, 인덕원골드프라자)",13951,,01,영업/정상,,,
