영업소면적,사업장명,사업장구분명,업태구분명,폐업일자,위탁업체명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,실험실면적,실험실반,실험실번지,실험실산,실험실지역코드,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소건물층구분,실험실도로명주소코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소시군구코드,실험실도로명주소우편번호,실험실도로명특수주소,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실통,실험실호,실험실우편번호,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,(주)삼우에이엔씨,측정대행업,,,,197557.981270334,441566.953618972,2026-04-24 03:03:03,U,BBBB,영업,2838,,1049,1,1159010700,2021,,0,2000003,1159010700,1,11590,,2층 (사당동),,,,,7,,2026-04-23 16:26:54,2015-03-02,,서울특별시 동작구 사당동 1049-7,319000066201500001,3190000,"서울특별시 동작구 남부순환로 2021, 2층 (사당동)",,,01,영업/정상,,,62686990
,(주)푸른환경산업연구소,측정대행업,,,,196293.25961572,442941.188639656,2026-04-24 22:23:48,I,5,제외사항,,,1729,1,1162010100,9,,0,4160731,1162010100,1,11620,08732,3~6층 (봉천동),그린빌딩 3~6층,,,,1,,2026-04-22 10:39:29,2017-11-27,,서울특별시 관악구 봉천동 1729-1 그린빌딩 3~6층,320000066201700002,3200000,"서울특별시 관악구 청림3길 9, 3~6층 (봉천동)",08732,,05,제외/삭제/전출,,,02-583-0203
,주식회사 국토해양환경기술단,측정대행업,,,,205249.495788632,415913.273839865,2026-04-24 03:03:03,U,BBBB,영업,,,980,1,4111710500,16,,0,4331015,4111710500,1,41117,16690,디지털엠파이어빌딩 (영통동),디지털엠파이어빌딩,,,,3,,2026-04-23 13:13:31,2023-11-15,,경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩,374000066202300003,3740000,"경기도 수원시 영통구 덕영대로1556번길 16, 디지털엠파이어빌딩 D동 5층 505호 (영통동)",,,01,영업/정상,,,031-205-8601
,혜성이앤텍 주식회사,측정대행업,,,,201285.950433738,416683.806401347,2026-04-24 03:03:03,U,BBBB,영업,,,1113,1,4111312600,11,,0,4325349,4111312600,1,41113,16589,1층 (세류동),,,,,14,,2026-04-23 13:13:02,2026-01-07,,경기도 수원시 권선구 세류동 1125-1 혜성 빌딩,374000066202600001,3740000,"경기도 수원시 권선구 세지로4번길 18, 혜성 빌딩 4층 (세류동)",16589,,01,영업/정상,,,031-223-0044
,주식회사 국토해양환경기술단,측정대행업,,,,205249.495788632,415913.273839865,2026-04-24 03:03:03,U,BBBB,영업,82,,980,1,4111710500,16,,0,4331015,4111710500,1,41117,16690,디지털엠파이어빌딩 D동 505층 (영통동),디지털엠파이어빌딩,,,,3,,2026-04-23 13:13:21,2019-11-25,,경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩,374000066201900001,3740000,"경기도 수원시 영통구 덕영대로1556번길 16, 디지털엠파이어빌딩 D동 5층 505호 (영통동)",,,01,영업/정상,,,031-205-8601
,혜성크린텍크 주식회사,측정대행업,,,,201285.950433738,416683.806401347,2026-04-24 03:03:03,U,BBBB,영업,68,,989,1,4111313700,355,,0,2012008,4111313700,1,41113,16565,2층 (권선동),,,,,1,,2026-04-23 13:13:14,2020-02-07,,경기도 수원시 권선구 세류동 1125-1 혜성 빌딩,374000066202000001,3740000,"경기도 수원시 권선구 세지로4번길 18, 혜성 빌딩 (세류동)",16589,,01,영업/정상,,,
,(주)한국종합공해시험연구소,측정대행업,,,,188820.806504332,444604.955627292,2026-04-24 22:23:16,I,BBBB,영업,424,,614,1,1153010200,23,,0,4148109,1153010200,1,11530,08214,"그린빌딩 2,3,4층 (구로동)",,,,,53,,2026-04-21 16:31:05,2010-02-25,,서울특별시 구로구 구로동 614-53,316000066201000001,3160000,"서울특별시 구로구 경인로53나길 23, 그린빌딩 2,3,4층 (구로동)",08214,,01,영업/정상,,,02-2614-7875
,(주)여러가지환경문제연구소,측정대행업,,,,190402.032127103,442203.137447127,2026-04-24 22:23:16,I,BBBB,영업,86,,237,1,1153010200,243,,0,3000026,1153010200,1,11530,08382,지하이시티 701~703호 (구로동),지하이시티,,,,,,2026-04-21 09:02:46,2024-02-01,,서울특별시 구로구 구로동 237 지하이시티,316000066202400001,3160000,"서울특별시 구로구 디지털로 243, 지하이시티 701~703호 (구로동)",08382,,01,영업/정상,,,02-2224-0002
