건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
,,,금강세탁,일반세탁업,,,,,197783.155321969,456311.979491953,2026-03-27 03:03:03,U,01,영업,,2026-03-26 12:03:31,1989-07-27,31.09,110-846,서울특별시 종로구 평창동 72 롯데아파트낙천대,N,,3000000-205-1989-01584,3000000,"서울특별시 종로구 평창문화로 140, 지층 3호 (평창동, 롯데아파트낙천대)",03010,,01,영업/정상,일반세탁업,02-379-1677,1,,1,,
2,,1,화이트세탁,일반세탁업,,,,,212310.590420835,433910.766081524,2026-03-27 03:03:03,U,01,영업,,2026-03-26 11:37:02,2014-06-18,28.35,463-840,경기도 성남시 분당구 야탑동 506-2,N,,3810000-205-2014-00004,3780000,"경기도 성남시 분당구 판교로610번길 10, 1층 (야탑동)",13515,,01,영업/정상,일반세탁업,031-704-8802,1,0,1,0,3
