사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
삼미상사(주)북부주유소,주유소,,202764.770881504,460298.901545302,2026-03-27 03:03:03,U,05,사업휴지,2026-03-26 10:44:03,,1970-06-22,2244,서울특별시 도봉구 쌍문동 103-7,1970309008701500001,3090000,서울특별시 도봉구 도봉로 437 (쌍문동),,,02,휴업,2026-03-26,2026-09-25,02-992-5561
천호 셀프주유소,주유소,,211372.250504166,449215.850465388,2026-03-27 03:03:03,U,06,휴지사업재개,2026-03-26 11:30:11,,1993-05-19,607,서울특별시 강동구 천호동 308-11,1993324007301500021,3240000,서울특별시 강동구 천중로 67 (천호동),,2014-08-06,01,영업/정상,2014-05-14,2014-07-15,02-484-9323
