축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,식육포장처리업,효원식품,,198923.79795189,409388.369211081,2026-03-27 03:03:03,U,0001,휴업,2026-03-26 16:06:36,,2020-09-21,1532,,경기도 화성시 효행구 정남면 괘랑리 508-2,식육포장처리업,553000010420200027,5530000,000,"경기도 화성시 효행구 정남면 괘랑2길17번길 45-12, 1층",18516,,02,휴업,2026-01-01,2027-12-31,031-352-0825
,식육포장처리업,주식회사가람에프앤비,2026-03-26,187525.383421378,403264.70377677,2026-03-27 03:03:03,U,0002,폐업,2026-03-26 16:32:14,,2022-11-17,0,,경기도 화성시 만세구 팔탄면 덕우리 84-16,식육포장처리업,553000010420220018,5530000,L00,경기도 화성시 만세구 팔탄면 온천로 49-20,18577,,03,폐업,,,02-6205-2615
