영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,골든피스,제과점영업,,200216.776856639,448400.944583451,2026-03-27 03:03:03,U,01,영업,98.14,,,,,,,,,2026-03-26 12:21:19,2023-05-02,98.14,140-893,서울특별시 용산구 한남동 729-22,N,,3020000-121-2023-00010,,3020000,"서울특별시 용산구 한남대로27길 25, 지하1층 (한남동)",04399,01,영업/정상,제과점영업,,,,상수도전용
아파트지역,,르네상스과자점,제과점영업,2026-03-26,194695.797060075,448818.967990515,2026-03-27 03:03:03,U,02,폐업,63.94,,,,1,지도,,,,2026-03-26 11:41:17,1981-05-19,63.94,121-876,서울특별시 마포구 용강동 122-1,N,1,3130000-121-1981-00001,,3130000,서울특별시 마포구 토정로 282 (용강동),04163,03,폐업,제과점영업,02-0715-2808,,,상수도전용
,,유가루 하우스,제과점영업,,206620.853937349,458238.168682459,2026-03-27 03:03:03,U,01,영업,61.05,,,,,,,,,2026-03-26 15:44:17,2026-01-28,61.05,139-803,서울특별시 노원구 공릉동 392-11,N,,3100000-121-2026-00003,,3100000,"서울특별시 노원구 동일로190길 53-5, 지하1층 (공릉동)",01842,01,영업/정상,제과점영업,,,,
,,파리바게뜨 신대방역점,제과점영업,2026-03-26,192306.62538557,442766.66265498,2026-03-27 03:03:03,U,02,폐업,48,,,,,,,,,2026-03-26 13:18:27,2019-01-07,48.00,151-873,서울특별시 관악구 신림동 517-2 소준빌딩,N,,3200000-121-2019-00001,,3200000,"서울특별시 관악구 신사로 102, 소준빌딩 1층 (신림동)",08702,03,폐업,제과점영업,,,,
,,라라브레드 개포자이점,제과점영업,2026-03-26,206239.623997375,442598.51298973,2026-03-27 03:03:03,U,02,폐업,41.71,,,,,,,,,2026-03-26 14:23:42,2023-06-30,41.71,135-804,서울특별시 강남구 개포동 189 개포자이 프레지던스,N,,3220000-121-2023-00092,,3220000,"서울특별시 강남구 삼성로 14, 지하1층 B121호 (개포동, 개포자이 프레지던스)",06331,03,폐업,제과점영업,,,,
,,후앙베이커리 식사점,제과점영업,2026-03-26,183336.108614061,464062.291569234,2026-03-27 03:03:03,U,02,폐업,86.24,,,,,,,,,2026-03-26 13:26:26,2017-04-20,86.24,410-821,"경기도 고양시 일산동구 식사동 1528 위시티일산자이주상복합 상가동 102-1호,102-2호일부",N,,3960100-121-2017-00005,,3940000,"경기도 고양시 일산동구 위시티2로11번길 45 (식사동, 위시티일산자이 주상복합 상가동 102-1호, 102-2호일부)",10323,03,폐업,제과점영업,,,,상수도전용
