축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,주사육업종,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
358,가축사육업,서창농장,2026-03-26,183600.043382576,428622.075208387,2026-03-27 03:03:03,U,0002,폐업,2026-03-26 21:36:24,,2025-02-24,,,경기도 시흥시 화정동 ***-*,401000003320250005,4010000,염소,000,경기도 시흥시 능곡로**번길 ** (화정동),14992,,03,폐업,,,
699,가축사육업,장수농장,2026-03-25,160754.923629284,461793.535437321,2026-03-27 03:03:03,U,0002,폐업,2026-03-26 17:09:30,,2017-03-03,,,경기도 김포시 대곶면 송마리 ****,409000003320170003,4090000,한우,000,경기도 김포시 대곶면 학의동로 **-**,10040,,03,폐업,,,
1941,가축사육업,들찬길농장,,258469.979684729,465896.048317309,2026-03-27 03:03:03,U,0001,휴업,2026-03-26 15:07:19,,2021-11-10,,,강원특별자치도 홍천군 서면 반곡리 ***-*,425000003320210024,4251000,염소,000,,,,02,휴업,2026-03-26,2029-03-25,
734,가축사육업,석산농장,2026-03-26,231873.651437139,474450.744516475,2026-03-27 03:03:03,U,0002,폐업,2026-03-26 13:48:05,,2014-02-22,,,경기도 가평군 상면 행현리 ***-*,416000003320140033,4160000,한우,000,,,,03,폐업,,,
