년간생산량,사업장명,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,취급목재제품,최종수정시점,인허가일자,지번주소,관리번호,인력보유현황,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,상태구분명,소재지전화번호,목재생산업종류명,목재생산업구분코드명
,(주)홈앤디포(3종),250,232755.376197345,414014.34143384,2026-03-27 03:03:03,U,1,정상,"루바, 방부목",2026-03-26 19:58:22,2013-12-02,경기도 이천시 마장면 덕평리 ***-**,407000090201300012,,4070000,경기도 이천시 마장면 덕평로 ***-**,17389,01,영업/정상,영업,031-766-3648,3종,제재업
,(주)홈앤디포(1종),,232755.376197345,414014.34143384,2026-03-27 03:03:03,U,1,정상,제재목 또는 단판(루바 외),2026-03-26 20:01:12,2019-06-04,경기도 이천시 마장면 덕평리 ***-**,407000090201300021,,4070000,경기도 이천시 마장면 덕평로 ***-**,17389,01,영업/정상,영업,031-766-3648,1종,제재업
,(주)홈앤디포(4종),,232755.376197345,414014.34143384,2026-03-27 03:03:03,U,1,정상,목재펠릿,2026-03-26 19:54:58,2019-06-04,경기도 이천시 마장면 덕평리 ***-**,407000090201300022,,4070000,경기도 이천시 마장면 덕평로 ***-**,17389,01,영업/정상,영업,031-763-2235,4종,제재업
