자산규모,사업장명,폐업일자,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,부채총액,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,프라임 멀티샵,2026-03-26,,180967.416219354,430528.266185406,2026-03-27 03:03:03,U,05,타시군구이관,2026-03-26 13:15:04,,,2020-11-13,,경기도 시흥시 장곡동 ***-*,2025401031723200002,4010000,"경기도 시흥시 노루우물길 *, *층 (장곡동)",15002,2021-01-25,05,제외/삭제/전출,,,031-571-9918
,탑셀프라임,,,205430.356783465,461479.613299751,2026-03-27 03:03:03,U,01,정상영업,2026-03-26 10:15:45,,,2024-05-27,,서울특별시 노원구 상계동 *** 화랑빌딩,2024310018423200005,3100000,"서울특별시 노원구 상계로 **, 화랑빌딩 가동 *층 *,*호 (상계동)",01695,,01,영업/정상,,,
840000000,주식회사 한국프린터스,2026-03-26,30000000,189537.113738095,443345.539096196,2026-03-27 03:03:03,U,03,폐업처리,2026-03-26 10:22:39,720000000,,2024-06-07,,서울특별시 구로구 구로동 ***-**,2024316015923200013,3160000,"서울특별시 구로구 가마산로**길 *-*, *층 (구로동)",08309,,03,폐업,,,02-854-2131
,비겐의료기 신대방점,2026-03-23,,193624.175934611,444034.976010088,2026-03-27 03:03:03,U,03,폐업처리,2026-03-26 15:21:01,,,2009-04-21,156-010,서울특별시 동작구 신대방동 ***번지 *호,2009319009923200023,3190000,서울특별시 동작구 국사봉길 ** (신대방동),,,03,폐업,,,02-824-7585
,호박덩쿨,2026-03-23,,193217.235162753,444639.881380692,2026-03-27 03:03:03,U,03,폐업처리,2026-03-26 15:22:24,,,2023-06-26,,서울특별시 동작구 대방동 ***-*,2023319027123200009,3190000,"서울특별시 동작구 대방동**길 **, ***호 (대방동)",06945,,03,폐업,,,
,서울 망우 본부,,,208729.631743319,455003.512406805,2026-03-27 22:48:28,I,01,정상영업,2026-03-26 15:56:04,,,2026-03-26,,서울특별시 중랑구 망우동 ***-* *층,2026306021523200010,3060000,"서울특별시 중랑구 망우로**길 **, *층 (망우동)",02165,,01,영업/정상,,,
