사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
한남부속치과의원,2018-04-09,199952.013298909,448445.419429126,2026-04-27 22:30:31,I,03,폐업,358.32,7,0,2018-04-09 17:38:39,,2010-01-04,140-893,서울특별시 용산구 한남동 741번지 1호 1층,401,치과,부속의원,PHMA320103020033041300001,3020000,서울특별시 용산구 이태원로55길 20 (한남동),04348,03,폐업,0,,,02-792-6118
아시아나항공㈜ 부속의원,2025-05-30,182286.078276094,449207.30255154,2026-04-27 22:31:09,I,03,폐업,1214.78,12,0,2025-06-02 16:15:07,,1991-05-30,157-270,서울특별시 강서구 오쇠동 47번지 9호 교육훈련동 4층,122,가정의학과,부속의원,PHMA319913150037041300001,3150000,"서울특별시 강서구 오정로 443-100, 4층 (오쇠동, 교육훈련동)",07505,03,폐업,0,,,02-2669-3802
서울하나의료생활협동조합부속 이오스치과의원,2011-07-25,185438.705020862,449614.74114981,2026-04-27 22:31:09,I,03,폐업,129.8,1,0,2011-07-25 14:56:13,,2009-01-28,157-280,서울특별시 강서구 내발산동 723번지 4호 2층,401,치과,부속의원,PHMA320093150037041300001,3150000,"서울특별시 강서구 강서로 257 (내발산동,2층)",,03,폐업,0,,,
