영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,글램노래바,룸살롱,,186318.449831744,447470.974728264,2026-04-16 03:03:03,U,01,영업,74.16,,,,,,,,,2026-04-15 13:51:39,2015-07-14,74.16,157-909,서울특별시 강서구 화곡동 901-27 태양빌딩 지하 1층,N,,3150000-102-2015-00001,,3150000,"서울특별시 강서구 강서로7길 31, 태양빌딩 지하 1층 (화곡동)",07777,01,영업/정상,룸살롱,,,,
,,대포차(大포차),기타,,202139.326641492,459501.147199015,2026-04-16 03:03:03,U,01,영업,325.59,,,,,,,,,2026-04-15 11:39:50,2024-05-09,325.59,142-878,서울특별시 강북구 수유동 229-5 정우빌딩,Y,,3080000-102-2024-00002,,3080000,"서울특별시 강북구 도봉로 333, 정우빌딩 지하1층 (수유동)",01073,01,영업/정상,기타,,,,
유흥업소밀집지역,,청춘노래장,룸살롱,,204585.386222045,471005.106401141,2026-04-16 03:03:03,U,01,영업,81.6,,,,,,,,,2026-04-15 13:20:17,2010-04-02,81.60,480-840,경기도 의정부시 의정부동 31-9 지하1층,N,,3820000-102-2010-00006,,3820000,"경기도 의정부시 호국로1336번길 61 (의정부동,지하1층)",11693,01,영업/정상,룸살롱,031-848-3980,,,상수도전용
